dataset,condition,condition_label,accuracy,mean_p_wrong,mean_p_correct,mean_hysteresis_gap,wrong_following_rate,positive_hysteresis_rate,history_contamination_rate_clean_correct,clean_accuracy,clean_p_correct,clean_entropy,clean_max_probability,entropy,max_probability,n_items,hysteresis_gap_ci_low,hysteresis_gap_ci_high,clean_context_like_pass
mmlu_pro,clean,Clean,0.372,0.08695471759140995,0.3578912999619896,0.0,0.08685714285714285,0.0,0.0,0.372,0.3578912999619896,0.5651672497136248,0.7990048869890808,0.5651672497136248,0.7990048869890808,3500,0.0,0.0,True
mmlu_pro,evidence_grounded_recovery,R7 trusted-evidence recovery,0.9028571428571428,0.05997208194086748,0.8962415619329485,-0.026982635650542482,0.056857142857142856,0.258,0.0314900153609831,0.372,0.3578912999619896,0.5651672497136248,0.7990048869890808,0.06220588795062929,0.9788828537999775,3500,-0.03734263062203661,-0.01685468236368658,True
mmlu_pro,factual_state_reconstruction,R5 factual reconstruction,0.36542857142857144,0.08475687086489733,0.351633489002532,-0.0021978467265126355,0.08628571428571429,0.43914285714285717,0.007680491551459293,0.372,0.3578912999619896,0.5651672497136248,0.7990048869890808,0.5193574339830533,0.815321782917219,3500,-0.005302414990603879,0.0008327488181703313,True
mmlu_pro,fresh_context_deletion,R3a fresh-context deletion,0.372,0.08695471759140995,0.3578912999619896,0.0,0.08685714285714285,0.0,0.0,0.372,0.3578912999619896,0.5651672497136248,0.7990048869890808,0.5651672497136248,0.7990048869890808,3500,0.0,0.0,True
mmlu_pro,ordinary_strong_reset,R0 ordinary reset,0.22085714285714286,0.5179924160414804,0.21728116606220524,0.43103769845007045,0.5322857142857143,0.7651428571428571,0.3978494623655914,0.372,0.3578912999619896,0.5651672497136248,0.7990048869890808,0.20626811651830215,0.9298973617910836,3500,0.41485676070670496,0.4458375123792846,False
truthfulqa_mc,clean,Clean,0.6531428571428571,0.11451875323426178,0.6488885124081533,0.0,0.11542857142857142,0.0,0.0,0.6531428571428571,0.6488885124081533,0.14706706173631173,0.9445325359669043,0.14706706173631173,0.9445325359669043,3500,0.0,0.0,True
truthfulqa_mc,evidence_grounded_recovery,R7 trusted-evidence recovery,0.9557142857142857,0.030558973607068052,0.9533623398886423,-0.08395977962719373,0.029714285714285714,0.26057142857142856,0.009623797025371828,0.6531428571428571,0.6488885124081533,0.14706706173631173,0.9445325359669043,0.023471845132288796,0.9914212196099361,3500,-0.09465271901105816,-0.07334225160364786,False
truthfulqa_mc,factual_state_reconstruction,R5 factual reconstruction,0.6542857142857142,0.11403634329032927,0.6513638547412848,-0.0004824099439325092,0.11371428571428571,0.466,0.01399825021872266,0.6531428571428571,0.6488885124081533,0.14706706173631173,0.9445325359669043,0.13993244069235355,0.9477302048299365,3500,-0.004799357945412461,0.0036340402186189743,True
truthfulqa_mc,fresh_context_deletion,R3a fresh-context deletion,0.6531428571428571,0.11451875323426178,0.6488885124081533,0.0,0.11542857142857142,0.0,0.0,0.6531428571428571,0.6488885124081533,0.14706706173631173,0.9445325359669043,0.14706706173631173,0.9445325359669043,3500,0.0,0.0,True
truthfulqa_mc,ordinary_strong_reset,R0 ordinary reset,0.5154285714285715,0.2898007884083143,0.5119889195150974,0.17528203517405253,0.29114285714285715,0.5771428571428572,0.19728783902012248,0.6531428571428571,0.6488885124081533,0.14706706173631173,0.9445325359669043,0.09988144505889908,0.9630274728012072,3500,0.16008665886172715,0.19035732347733667,False
