model_key,model_short_name,r0_accuracy,r7_accuracy,delta_accuracy,r0_mean_p_wrong,r7_mean_p_wrong,delta_mean_p_wrong,r0_mean_p_correct,r7_mean_p_correct,delta_mean_p_correct,r0_mean_hysteresis_gap,r7_mean_hysteresis_gap,delta_mean_hysteresis_gap,r0_wrong_following_rate,r7_wrong_following_rate,delta_wrong_following_rate,r0_history_contamination_rate_clean_correct,r7_history_contamination_rate_clean_correct,delta_history_contamination_rate_clean_correct,n_items
gemma2_2b,Gemma2-2B,0.131,0.792,0.661,0.7302110670233817,0.1714664394021249,-0.5587446276212568,0.132722779761553,0.7853274344223312,0.6526046546607782,0.6075308144429589,0.04878618682170208,-0.5587446276212568,0.734,0.167,-0.567,0.6346153846153846,0.0889423076923077,-0.5456730769230769,1000
gemma2_9b,Gemma2-9B,0.55,0.957,0.4069999999999999,0.22396230089897903,0.015664992140659317,-0.20829730875831973,0.5502378561849159,0.9575300331393746,0.40729217695445863,0.14160012636245667,-0.06669718239586306,-0.20829730875831973,0.225,0.016,-0.20900000000000002,0.10873146622734761,0.0032948929159802307,-0.10543657331136738,1000
llama31_8b,Llama3.1-8B,0.513,0.988,0.475,0.16764966778901172,0.005935185349732551,-0.16171448243927916,0.4804502329926804,0.9799828123691641,0.49953257937648365,0.06211637274958661,-0.09959810968969257,-0.1617144824392792,0.188,0.004,-0.184,0.09177820267686425,0.0,-0.09177820267686425,1000
mistral7b_v03,Mistral-7B-v0.3,0.261,0.892,0.631,0.5509574661272341,0.06883275133855549,-0.4821247147886786,0.2647131279333362,0.8827922004477856,0.6180790725144494,0.4531189694679246,-0.02900574532075389,-0.4821247147886785,0.562,0.062,-0.5,0.4180327868852459,0.02663934426229508,-0.39139344262295084,1000
qwen25_14b,Qwen2.5-14B,0.549,0.987,0.43799999999999994,0.23446169591456992,0.0031445265005557513,-0.23131716941401417,0.5483389952856621,0.9867545916266274,0.4384155963409653,0.15440182526297194,-0.07691534415104219,-0.23131716941401415,0.236,0.003,-0.23299999999999998,0.10837438423645321,0.0,-0.10837438423645321,1000
qwen25_15b,Qwen2.5-1.5B,0.087,0.934,0.8470000000000001,0.695291000822172,0.03929300908152776,-0.6559979917406442,0.09085260323134248,0.9256210513985709,0.8347684481672284,0.5668982153313571,-0.08909977640928728,-0.6559979917406443,0.712,0.039,-0.6729999999999999,0.6631853785900783,0.02610966057441253,-0.6370757180156658,1000
qwen25_7b,Qwen2.5-7B,0.486,0.955,0.469,0.22474301699893307,0.012521790604618619,-0.21222122639431446,0.48512970413106904,0.9556055329717139,0.47047582884064487,0.13645274406717464,-0.0757684823271398,-0.21222122639431446,0.225,0.012,-0.213,0.11921708185053381,0.0017793594306049821,-0.11743772241992884,1000
