suite,model_key,model_short_name,dataset,condition,condition_label,accuracy,mean_p_wrong,mean_p_correct,mean_hysteresis_gap,wrong_following_rate,positive_hysteresis_rate,history_contamination_rate_clean_correct,clean_accuracy,clean_p_correct,clean_entropy,clean_max_probability,entropy,max_probability,n_items,hysteresis_gap_ci_low,hysteresis_gap_ci_high,clean_context_like_pass
expanded,gemma2_9b,Gemma2-9B,truthfulqa_mc,fresh_context_deletion,R3a fresh-context deletion,0.784,0.08682746428422647,0.7753031038405511,0.0,0.086,0.0,0.0,0.784,0.7753031038405511,0.08088502730408194,0.9731562097226137,0.08088502730408194,0.9731562097226137,500,0.0,0.0,True
expanded,gemma2_9b,Gemma2-9B,truthfulqa_mc,ordinary_strong_reset,R0 ordinary reset,0.786,0.09606377593085975,0.7852148738137317,0.009236311646633287,0.096,0.178,0.030612244897959183,0.784,0.7753031038405511,0.08088502730408194,0.9731562097226137,0.015076352871099008,0.9953588105011694,500,-0.014215203593521089,0.03415292481157767,True
expanded,llama31_8b,Llama3.1-8B,mmlu_pro,clean,Clean,0.414,0.08512578929966108,0.3537964205975369,0.0,0.09,0.0,0.0,0.414,0.3537964205975369,1.1774046304814474,0.5903584258627645,1.1774046304814474,0.5903584258627645,500,0.0,0.0,True
expanded,llama31_8b,Llama3.1-8B,mmlu_pro,evidence_grounded_recovery,R7 trusted-evidence recovery,0.976,0.011687772940374472,0.9627083679225081,-0.07343801635928661,0.008,0.082,0.0,0.414,0.3537964205975369,1.1774046304814474,0.5903584258627645,0.08155609048702861,0.973643437836259,500,-0.08877553784262202,-0.05930244562539903,False
expanded,llama31_8b,Llama3.1-8B,mmlu_pro,factual_state_reconstruction,R5 factual reconstruction,0.426,0.08447664320588978,0.3605869961005096,-0.0006491460937712954,0.092,0.472,0.0,0.414,0.3537964205975369,1.1774046304814474,0.5903584258627645,1.12438168542313,0.6092660133963363,500,-0.004629160855947884,0.0036344532894953207,True
expanded,llama31_8b,Llama3.1-8B,mmlu_pro,fresh_context_deletion,R3a fresh-context deletion,0.414,0.08512578929966108,0.3537964205975369,0.0,0.09,0.0,0.0,0.414,0.3537964205975369,1.1774046304814474,0.5903584258627645,1.1774046304814474,0.5903584258627645,500,0.0,0.0,True
expanded,llama31_8b,Llama3.1-8B,mmlu_pro,ordinary_strong_reset,R0 ordinary reset,0.324,0.2669675275090834,0.2912802913198216,0.18184173820942232,0.326,0.784,0.2028985507246377,0.414,0.3537964205975369,1.1774046304814474,0.5903584258627645,0.9821973372738676,0.6605850405585011,500,0.15724700128688002,0.20605780646534233,False
expanded,llama31_8b,Llama3.1-8B,truthfulqa_mc,clean,Clean,0.632,0.12594080077918918,0.6124169920734126,0.0,0.128,0.0,0.0,0.632,0.6124169920734126,0.36530053708218974,0.8664331733351004,0.36530053708218974,0.8664331733351004,500,0.0,0.0,True
expanded,llama31_8b,Llama3.1-8B,truthfulqa_mc,evidence_grounded_recovery,R7 trusted-evidence recovery,1.0,0.0001825977590906305,0.99725725681582,-0.12575820302009855,0.0,0.066,0.0,0.632,0.6124169920734126,0.36530053708218974,0.8664331733351004,0.009791370698124649,0.99725725681582,500,-0.1507715793246441,-0.10092661796833916,False
expanded,llama31_8b,Llama3.1-8B,truthfulqa_mc,factual_state_reconstruction,R5 factual reconstruction,0.61,0.12990803223878367,0.5975096961879749,0.003967231459594502,0.128,0.464,0.015822784810126583,0.632,0.6124169920734126,0.36530053708218974,0.8664331733351004,0.33375208749912055,0.8755830422124486,500,-0.004134732647286884,0.011691381889205417,True
