condition,condition_label,accuracy,mean_p_wrong,mean_p_correct,mean_hysteresis_gap,wrong_following_rate,positive_hysteresis_rate,history_contamination_rate_clean_correct,clean_accuracy,clean_p_correct,clean_entropy,clean_max_probability,entropy,max_probability,n_items,hysteresis_gap_ci_low,hysteresis_gap_ci_high,clean_context_like_pass
clean,Clean,0.5125714285714286,0.10073673541283587,0.5033899061850714,0.0,0.10114285714285715,0.0,0.0,0.5125714285714286,0.5033899061850714,0.35611715572496827,0.8717687114779924,0.35611715572496827,0.8717687114779924,7000,0.0,0.0,True
evidence_grounded_recovery,R7 trusted-evidence recovery,0.9292857142857143,0.045265527773967765,0.9248019509107954,-0.0554712076388681,0.04328571428571429,0.2592857142857143,0.017558528428093644,0.5125714285714286,0.5033899061850714,0.35611715572496827,0.8717687114779924,0.042838866541459034,0.9851520367049568,7000,-0.062476461954639476,-0.048420369367884686,False
factual_state_reconstruction,R5 factual reconstruction,0.5098571428571429,0.0993966070776133,0.5014986718719083,-0.0013401283352225722,0.1,0.45257142857142857,0.011705685618729096,0.5125714285714286,0.5033899061850714,0.35611715572496827,0.8717687114779924,0.3296449373377034,0.8815259938735778,7000,-0.004082921821511305,0.0012006579794111118,True
fresh_context_deletion,R3a fresh-context deletion,0.5125714285714286,0.10073673541283587,0.5033899061850714,0.0,0.10114285714285715,0.0,0.0,0.5125714285714286,0.5033899061850714,0.35611715572496827,0.8717687114779924,0.35611715572496827,0.8717687114779924,7000,0.0,0.0,True
ordinary_strong_reset,R0 ordinary reset,0.36814285714285716,0.40389660222489737,0.36463504278865133,0.3031598668120615,0.4117142857142857,0.6711428571428572,0.270066889632107,0.5125714285714286,0.5033899061850714,0.35611715572496827,0.8717687114779924,0.15307478078860062,0.9464624172961453,7000,0.29190017230603527,0.3145634458667547,False
