table_name,model,model_key,dataset,dataset_key,condition_or_operation,metric,estimate,ci_low,ci_high,n_items,bootstrap_samples,seed,informative,notes
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R2 System reset,clean_context_like_loose,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,p_wrong,0.09074530212072882,0.06940527357831407,0.11350828212818534,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,p_correct,0.31775293407729854,0.2819751287892907,0.35469264055134636,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,accuracy,0.326,0.286,0.368,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,hysteresis_gap,0.0,0.0,0.0,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,entropy,0.40338259323253545,0.3645920122034721,0.4447413638678128,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,max_probability,0.8437698901385688,0.8262601682776107,0.8604426686960757,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,restoration_ratio,1.0,1.0,1.0,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,clean_context_like_strict,1.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,clean_context_like_main,1.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
