table_name,model,model_key,dataset,dataset_key,condition_or_operation,metric,estimate,ci_low,ci_high,n_items,bootstrap_samples,seed,informative,notes
failure_decomposition,Qwen2.5-7B,qwen25_7b,MMLU-Pro,mmlu_pro,ordinary_reset,stable_correct,0.26,0.222,0.3,500,10000,12345,True,
failure_decomposition,Qwen2.5-7B,qwen25_7b,MMLU-Pro,mmlu_pro,ordinary_reset,history_contamination,0.164,0.132,0.196,500,10000,12345,True,
failure_decomposition,Qwen2.5-7B,qwen25_7b,MMLU-Pro,mmlu_pro,ordinary_reset,context_correction,0.046,0.028,0.066,500,10000,12345,True,
failure_decomposition,Qwen2.5-7B,qwen25_7b,MMLU-Pro,mmlu_pro,ordinary_reset,task_failure,0.53,0.486,0.574,500,10000,12345,True,
failure_decomposition,Qwen2.5-7B,qwen25_7b,MMLU-Pro,mmlu_pro,ordinary_reset,contamination_given_clean_correct,0.24056603773584906,0.18467921805300447,0.297982226107226,500,10000,12345,True,clean_correct_denominator=212
failure_decomposition,Qwen2.5-7B,qwen25_7b,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,stable_correct,0.598,0.554,0.64,500,10000,12345,True,
failure_decomposition,Qwen2.5-7B,qwen25_7b,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,history_contamination,0.102,0.076,0.128,500,10000,12345,True,
failure_decomposition,Qwen2.5-7B,qwen25_7b,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,context_correction,0.068,0.046,0.09,500,10000,12345,True,
failure_decomposition,Qwen2.5-7B,qwen25_7b,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,task_failure,0.232,0.196,0.27,500,10000,12345,True,
failure_decomposition,Qwen2.5-7B,qwen25_7b,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,contamination_given_clean_correct,0.045714285714285714,0.025210084033613446,0.06925207756232687,500,10000,12345,True,clean_correct_denominator=350
