model_key,model,dataset,phase_index,phase,condition,n,mean_p_wrong,p_wrong_ci_low,p_wrong_ci_high,p_wrong_se,bootstrap_samples,bootstrap_seed
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,3,strong pressure,strong_pressure,500,0.92481261920966,0.9037753554623821,0.9450327344915395,0.010786848122163033,2000,12345
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,4,medium reset,medium_reset,500,0.7506060839150414,0.7178421076844738,0.7832841106430107,0.017050373249738106,2000,12345
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,5,strong reset,strong_reset,500,0.7255437898838972,0.6907779741539658,0.7582250025418893,0.018393107438087,2000,12345
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,6,clean probe,clean_context_probe,500,0.09124088678329585,0.0721413274922964,0.11231402364114755,0.010179507738163028,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,0,clean,clean_context,500,0.1655446841983342,0.13571562903746087,0.19525069215412494,0.015329763931589503,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,1,weak pressure,weak_pressure,500,0.7669534030580626,0.7327311181600562,0.7996951928247115,0.017157594211715088,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,2,medium pressure,medium_pressure,500,0.8870255946213401,0.8607673054368538,0.9119317124623086,0.013097433162909629,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,3,strong pressure,strong_pressure,500,0.8970861433886306,0.870834822255377,0.9212685122898688,0.012814167810525365,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,4,medium reset,medium_reset,500,0.74751077536052,0.7104088040137846,0.782777542401665,0.01806836503366128,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,5,strong reset,strong_reset,500,0.6650382117604469,0.625487962896238,0.704474183957795,0.019962412509067193,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,6,clean probe,clean_context_probe,500,0.1655446841983342,0.13571562903746087,0.19525069215412494,0.015329763931589503,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,0,clean,clean_context,500,0.0806055196700934,0.060857692202623256,0.10232439527521481,0.010917695961589603,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,1,weak pressure,weak_pressure,500,0.2875310385612048,0.2511969169705357,0.32392056381583023,0.018414360644833788,2000,12345
