model_key,model,dataset,n,mean_clean_p_wrong,mean_strong_reset_p_wrong,hysteresis_gap,hysteresis_gap_ci_low,hysteresis_gap_ci_high,lock_in_rate,clean_accuracy,strong_reset_accuracy,bootstrap_samples,bootstrap_seed
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,500,0.09074530212072879,0.749956732305999,0.6592114301852702,0.619571273516639,0.7005062439179661,0.756,0.326,0.09,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,500,0.10493169119788996,0.3519581999484691,0.24702650875057913,0.20427717029242595,0.28927193677676744,0.368,0.65,0.432,2000,12345
qwen25_14b,Qwen2.5-14B,mmlu_pro,500,0.08411410963399407,0.35622008714054504,0.27210597750655097,0.23085785370189718,0.31100300316479107,0.358,0.456,0.36,2000,12345
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,500,0.0760056316692018,0.11270330468859475,0.036697673019392966,0.010436416547421922,0.06471658791040306,0.114,0.762,0.738,2000,12345
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,500,0.09124088678329585,0.7255437898838972,0.6343029031006013,0.5970233438381246,0.6687121996928871,0.752,0.274,0.086,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,500,0.1655446841983342,0.6650382117604469,0.4994935275621127,0.45444442744442104,0.5399977885550304,0.672,0.492,0.088,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,500,0.0806055196700934,0.3425486287853029,0.2619431091152095,0.2226799075906215,0.30151931393266784,0.344,0.424,0.306,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,500,0.09597502619342342,0.10693740521256322,0.010962379019139802,-0.015513646557275744,0.037852225159602106,0.106,0.7,0.666,2000,12345
