model_key,model,dataset,n,pressure_hysteresis_gap,neutral_hysteresis_gap,pressure_minus_neutral_gap,pressure_minus_neutral_gap_ci_low,pressure_minus_neutral_gap_ci_high,bootstrap_samples,bootstrap_seed
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,500,0.6592114301852702,-0.01613956193135985,0.6753509921166301,0.6341823891539037,0.7166292242911882,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,500,0.24702650875057913,-0.01125609110426596,0.2582825998548451,0.2189929918976493,0.29800189562714063,2000,12345
qwen25_14b,Qwen2.5-14B,mmlu_pro,500,0.27210597750655097,-0.008528485440493082,0.2806344629470441,0.2409818961432909,0.31905190497377783,2000,12345
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,500,0.036697673019392966,-0.001447960498748925,0.03814563351814189,0.014846925410160142,0.060753179678009514,2000,12345
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,500,0.6343029031006013,-0.0013528114565942158,0.6356557145571956,0.5972640991097682,0.6723203758691227,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,500,0.4994935275621127,0.01619911650414604,0.4832944110579666,0.4394378645883903,0.5249883199444032,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,500,0.2619431091152095,-0.022916589391115294,0.2848596985063248,0.24666137329752466,0.32350112243840873,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,500,0.010962379019139802,0.001185442042907868,0.009776936976231937,-0.017415423568132492,0.035041382226380896,2000,12345
