model_key,model_short_name,dataset,condition,condition_label,level,category,is_main_condition,evaluated_n,clean_p_wrong,ordinary_reset_p_wrong,intervention_p_wrong,clean_p_correct,ordinary_reset_p_correct,intervention_p_correct,ordinary_reset_hysteresis_gap,intervention_hysteresis_gap,gap_reduction,restoration_ratio,restoration_ratio_informative,clean_accuracy,ordinary_reset_accuracy,accuracy,wrong_follow_rate,lock_in_rate,entropy,max_probability,clean_entropy,clean_max_probability,ordinary_reset_entropy,ordinary_reset_max_probability,clean_context_damage_p_correct,clean_context_damage_accuracy,clean_correct_to_history_wrong_rate,clean_correct_to_intervention_wrong_rate,contamination_reduction,repair_classification,mro_success
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,ordinary_strong_reset,R0 Ordinary reset,R0,ordinary_reset,True,500,0.09074530212072882,0.7499567323059989,0.7499567323059989,0.31775293407729854,0.09084874490613813,0.09084874490613813,0.6592114301852701,0.6592114301852701,0.0,0.0,True,0.326,0.09,0.09,0.756,0.756,0.08053167681475111,0.9709155581073732,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.2269041891711604,-0.23600000000000002,0.6932515337423313,0.6932515337423313,0.0,ordinary_reset_baseline,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,explicit_user_retraction,R1 User retraction,R1,user_retraction,True,500,0.09074530212072882,0.7499567323059989,0.7143863228610093,0.31775293407729854,0.09084874490613813,0.1028369204224212,0.6592114301852701,0.6236410207402805,0.03557040944498957,0.05395903016273941,True,0.326,0.09,0.1,0.722,0.722,0.11548855769925018,0.958862976471208,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.21491601365487734,-0.226,0.6932515337423313,0.6687116564417178,0.024539877300613466,weak_wrong_suppression,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,system_level_reset,R2 System reset,R2,system_reset,True,500,0.09074530212072882,0.7499567323059989,0.7386169058121664,0.31775293407729854,0.09084874490613813,0.09276194838539134,0.6592114301852701,0.6478716036914376,0.011339826493832472,0.01720210842012469,True,0.326,0.09,0.09,0.744,0.744,0.09114805433738539,0.9668298990848325,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.2249909856919072,-0.23600000000000002,0.6932515337423313,0.6932515337423313,0.0,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,fresh_context_deletion,R3 Fresh context deletion,R3,context_removal,True,500,0.09074530212072882,0.7499567323059989,0.09074530212072882,0.31775293407729854,0.09084874490613813,0.31775293407729854,0.6592114301852701,0.0,0.6592114301852701,1.0,True,0.326,0.09,0.326,0.084,0.082,0.40338259323253545,0.8437698901385688,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,0.0,0.0,0.6932515337423313,0.0,0.6932515337423313,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,context_truncation,R3 Context truncation,R3,context_removal,True,500,0.09074530212072882,0.7499567323059989,0.08780586547162156,0.31775293407729854,0.09084874490613813,0.30951541075061856,0.6592114301852701,-0.0029394366491072577,0.6621508668343774,1.0044590195413954,True,0.326,0.09,0.308,0.09,0.088,0.39047791442135166,0.847683500465852,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.008237523326679985,-0.018000000000000016,0.6932515337423313,0.012269938650306749,0.6809815950920245,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,neutral_summary_replacement,R4 Neutral summary,R4,neutral_summary,True,500,0.09074530212072882,0.7499567323059989,0.09535092574687157,0.31775293407729854,0.09084874490613813,0.3000153492733246,0.6592114301852701,0.004605623626142752,0.6546058065591274,0.9930134348173418,True,0.326,0.09,0.302,0.092,0.088,0.5798318485921252,0.7769648908525142,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.017737584803973916,-0.02400000000000002,0.6932515337423313,0.006134969325153374,0.6871165644171779,flattening_or_suppression,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,factual_state_reconstruction,R5 Factual-state reconstruction,R5,state_reconstruction,True,500,0.09074530212072882,0.7499567323059989,0.09145612213243691,0.31775293407729854,0.09084874490613813,0.29945369426935897,0.6592114301852701,0.0007108200117080937,0.658500610173562,0.9989217116403636,True,0.326,0.09,0.306,0.09,0.086,0.3768993444351434,0.8520762106424872,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.01829923980793957,-0.020000000000000018,0.6932515337423313,0.018404907975460124,0.6748466257668712,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,self_verification_final_label,R6 Self-verification label,R6,verification,True,500,0.09074530212072882,0.7499567323059989,0.7659451326041742,0.31775293407729854,0.09084874490613813,0.08573451797585571,0.6592114301852701,0.6751998304834453,-0.015988400298175276,-0.024253827476386092,True,0.326,0.09,0.084,0.774,0.774,0.04929703646046345,0.98313772392197,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.23201841610144283,-0.242,0.6932515337423313,0.6932515337423313,0.0,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,evidence_for_each_option_then_answer,R6 Evidence comparison label,R6,verification,False,500,0.09074530212072882,0.7499567323059989,0.7637480574714718,0.31775293407729854,0.09084874490613813,0.08638469321001517,0.6592114301852701,0.6730027553507429,-0.013791325165472879,-0.020920943621376305,True,0.326,0.09,0.088,0.77,0.77,0.06022244476800172,0.9797109300855109,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.23136824086728336,-0.23800000000000002,0.6932515337423313,0.6871165644171779,0.006134969325153339,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,source_skepticism_reset,R2 Source skepticism reset,R2,source_skepticism,False,500,0.09074530212072882,0.7499567323059989,0.7388245886251155,0.31775293407729854,0.09084874490613813,0.09033792392498077,0.6592114301852701,0.6480792865043866,0.011132143680883444,0.016887061071976222,True,0.326,0.09,0.088,0.75,0.75,0.10361552179243802,0.9634418535040041,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,-0.22741501015231777,-0.23800000000000002,0.6932515337423313,0.6871165644171779,0.006134969325153339,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,ordinary_strong_reset,R0 Ordinary reset,R0,ordinary_reset,True,500,0.10493169119788996,0.3519581999484691,0.3519581999484691,0.6497950458048971,0.43857751096053416,0.43857751096053416,0.24702650875057913,0.24702650875057913,0.0,0.0,True,0.65,0.432,0.432,0.368,0.366,0.10183698053849995,0.9619382229935118,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,-0.21121753484436295,-0.21800000000000003,0.28,0.28,0.0,ordinary_reset_baseline,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,explicit_user_retraction,R1 User retraction,R1,user_retraction,True,500,0.10493169119788996,0.3519581999484691,0.3223259190820445,0.6497950458048971,0.43857751096053416,0.45866523857680774,0.24702650875057913,0.21739422788415452,0.02963228086642461,0.11995587443752487,True,0.65,0.432,0.452,0.334,0.328,0.12985710145262772,0.9496084893501107,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,-0.19112980722808937,-0.198,0.28,0.24615384615384617,0.03384615384615386,weak_wrong_suppression,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,system_level_reset,R2 System reset,R2,system_reset,True,500,0.10493169119788996,0.3519581999484691,0.3376086010812253,0.6497950458048971,0.43857751096053416,0.45758350580959223,0.24702650875057913,0.23267690988333534,0.014349598867243796,0.0580893076610352,True,0.65,0.432,0.452,0.352,0.35,0.12279856315641723,0.9518751985086349,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,-0.19221153999530488,-0.198,0.28,0.2676923076923077,0.012307692307692353,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,fresh_context_deletion,R3 Fresh context deletion,R3,context_removal,True,500,0.10493169119788996,0.3519581999484691,0.10493169119788996,0.6497950458048971,0.43857751096053416,0.6497950458048971,0.24702650875057913,0.0,0.24702650875057913,1.0,True,0.65,0.432,0.65,0.102,0.078,0.07876597178247637,0.9675391874868995,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,0.0,0.0,0.28,0.0,0.28,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,context_truncation,R3 Context truncation,R3,context_removal,True,500,0.10493169119788996,0.3519581999484691,0.10587523927789837,0.6497950458048971,0.43857751096053416,0.6587646791026958,0.24702650875057913,0.0009435480800084051,0.24608296067057073,0.9961803772203205,True,0.65,0.432,0.654,0.104,0.08,0.08674861058869007,0.9649075707302156,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,0.008969633297798651,0.0040000000000000036,0.28,0.009230769230769232,0.2707692307692308,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,neutral_summary_replacement,R4 Neutral summary,R4,neutral_summary,True,500,0.10493169119788996,0.3519581999484691,0.10517075038949164,0.6497950458048971,0.43857751096053416,0.6629225929253886,0.24702650875057913,0.00023905919160167877,0.24678744955897747,0.9990322528832603,True,0.65,0.432,0.662,0.106,0.084,0.11725268451755347,0.954020528840271,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,0.013127547120491467,0.01200000000000001,0.28,0.012307692307692308,0.26769230769230773,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,factual_state_reconstruction,R5 Factual-state reconstruction,R5,state_reconstruction,True,500,0.10493169119788996,0.3519581999484691,0.1106161967067543,0.6497950458048971,0.43857751096053416,0.6322884909136153,0.24702650875057913,0.005684505508864332,0.24134200324171481,0.9769882773406966,True,0.65,0.432,0.628,0.116,0.094,0.07869585293483419,0.9688338514781628,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,-0.017506554891281834,-0.02200000000000002,0.28,0.021538461538461538,0.25846153846153846,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,self_verification_final_label,R6 Self-verification label,R6,verification,True,500,0.10493169119788996,0.3519581999484691,0.37281946547040146,0.6497950458048971,0.43857751096053416,0.4223544681782483,0.24702650875057913,0.2678877742725115,-0.02086126552193235,-0.08444950150267401,True,0.65,0.432,0.422,0.376,0.376,0.06382373557860375,0.9765723930341376,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,-0.22744057762664882,-0.22800000000000004,0.28,0.30153846153846153,-0.021538461538461506,worse_than_reset,False
