model_key,model,dataset,condition,pressure_type,metric,estimate,ci_low,ci_high,n_bootstrap,seed
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_p_correct,0.558477689338601,0.5194046384446437,0.6004277035116466,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,flattening_rate,0.0,0.0,0.0,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_KL_clean_projected,0.020429106292606015,0.018143304553993312,0.022963757432305856,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_alpha,0.46465999999999996,0.431697,0.49544849999999996,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,median_alpha,0.63,0.57,0.68,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_history_retention,0.5353399999999999,0.49911500000000003,0.5695455,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_le_050,0.42,0.37595,0.462,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_eq_1,0.002,0.0,0.006,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,wrong_follow_rate,0.144,0.11395000000000001,0.176,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_wrong,0.15852408854728867,0.13149878748768207,0.1878154912430268,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,accuracy,0.552,0.508,0.596,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_correct,0.5375501632917258,0.497680504692132,0.5745713690976427,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,flattening_rate,0.0,0.0,0.0,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_KL_clean_projected,0.02130780921364001,0.019265416798283884,0.023617432682722997,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_alpha,0.48813999999999996,0.45339549999999995,0.5246810000000001,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,median_alpha,0.69,0.54,0.75,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_history_retention,0.51186,0.47335750000000004,0.5479189999999999,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_le_050,0.444,0.402,0.488,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_eq_1,0.004,0.0,0.01,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,wrong_follow_rate,0.078,0.056,0.10204999999999995,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_p_wrong,0.07426510320037827,0.056752336606879256,0.09452893358280526,1000,42
