model_key,model,dataset,condition,pressure_type,n_items,R0_gap,ordinary_reset_wrong_follow,ordinary_reset_p_wrong,cctp_mean_alpha,cctp_median_alpha,cctp_p25_alpha,cctp_p75_alpha,mean_history_retention,fraction_alpha_0,fraction_alpha_le_025,fraction_alpha_le_050,fraction_alpha_eq_1,cctp_clean_like_rate,cctp_wrong_follow,cctp_p_wrong,cctp_accuracy,cctp_p_correct,cctp_flattening_rate,mean_KL_clean_projected,mean_entropy,mean_max_prob,implementation_guarantee_pass_rate
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_tube_strict,correct_pressure,500,-0.0807725416796822,0.018,0.01818198916359604,0.73722,0.92,0.74,0.96,0.26277999999999996,0.168,0.178,0.194,0.018,1.0,0.104,0.09570524011605314,0.28,0.28908335088862325,0.0,0.015288570912627242,0.7333998904409719,0.7629833286485231,1.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_tube_strict,wrong_pressure,500,0.66899126130687,0.782,0.7679457921501482,0.78334,0.91,0.78,0.96,0.21666000000000002,0.104,0.114,0.128,0.02,1.0,0.104,0.1175027800122127,0.28,0.26184580453191064,0.0,0.014197034499084318,0.7561987030109207,0.758284306216561,1.0
gemma2_2b,Gemma-2-2B,mmlu_pro,fresh_context_deletion,correct_pressure,500,-0.009746931737121703,0.104,0.09895453084327824,,,,,,,,,,1.0,0.104,0.09895453084327824,0.28,0.2660679343026054,0.0,3.8270780320885344e-19,0.7247680255187127,0.7597612769879902,1.0
gemma2_2b,Gemma-2-2B,mmlu_pro,fresh_context_deletion,wrong_pressure,500,-0.009746931737121703,0.104,0.09895453084327824,,,,,,,,,,1.0,0.104,0.09895453084327824,0.28,0.2660679343026054,0.0,3.8270780320885344e-19,0.7247680255187127,0.7597612769879902,1.0
gemma2_2b,Gemma-2-2B,mmlu_pro,ordinary_reset,correct_pressure,500,-0.0807725416796822,0.018,0.01818198916359604,,,,,,,,,,0.18,0.018,0.01818198916359604,0.876,0.8702737443093274,0.034,5.804310226510734,0.06210489932520155,0.982571061241747,1.0
gemma2_2b,Gemma-2-2B,mmlu_pro,ordinary_reset,wrong_pressure,500,0.66899126130687,0.782,0.7679457921501482,,,,,,,,,,0.114,0.782,0.7679457921501482,0.092,0.09497663796992156,0.046,6.680770051673502,0.0806244041151852,0.9733525027827088,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_geometric_prob_min_alpha,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,0.36048,0.0,0.0,0.8,0.63952,0.538,0.548,0.574,0.004,1.0,0.144,0.14094681461260744,0.552,0.558477689338601,0.0,0.020429106292606008,0.16690021433536714,0.9462927899258639,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_geometric_prob_min_alpha,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,0.46465999999999996,0.63,0.0,0.83,0.5353399999999999,0.38,0.406,0.42,0.002,1.0,0.144,0.15852408854728867,0.552,0.5375501632917258,0.0,0.02130780921364001,0.19786246293487467,0.9385535774317524,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_kl_projection_tau_005,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,0.36186,0.0,0.0,0.78,0.6381400000000002,0.514,0.524,0.556,0.0,1.0,0.142,0.13937536354929345,0.558,0.564037524320782,0.346,0.024568818837845122,0.20401189472522246,0.93333844833794,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_kl_projection_tau_005,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,0.45188,0.6,0.0,0.78,0.54812,0.37,0.388,0.42,0.0,1.0,0.15,0.16583004558202355,0.55,0.5327252340311753,0.504,0.03047337698848248,0.24670440231931032,0.9216230304423584,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_kl_projection_tau_010,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,0.32576,0.0,0.0,0.7224999999999999,0.6742400000000001,0.542,0.56,0.584,0.0,1.0,0.144,0.1346920043276394,0.558,0.5780635165219703,0.362,0.04718943069911738,0.24000083267635583,0.9195764813073295,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_kl_projection_tau_010,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,0.41312,0.555,0.0,0.73,0.58688,0.39,0.408,0.472,0.0,1.0,0.156,0.1804236535536581,0.548,0.5228807716418168,0.522,0.05962164958891953,0.30400618197367457,0.9004788827386765,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,0.36048,0.0,0.0,0.8,0.63952,0.538,0.548,0.574,0.004,1.0,0.144,0.1409468146126074,0.552,0.558477689338601,0.0,0.020429106292606015,0.16690021433536714,0.9462927899258639,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,0.46465999999999996,0.63,0.0,0.83,0.5353399999999999,0.38,0.406,0.42,0.002,1.0,0.144,0.15852408854728867,0.552,0.5375501632917258,0.0,0.02130780921364001,0.19786246293487467,0.9385535774317524,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_prob_linear_min_alpha,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,0.38054,0.0,0.0,0.96,0.61946,0.538,0.582,0.614,0.002,1.0,0.144,0.1403419712006201,0.552,0.5624551190225809,0.0,0.022685896648568613,0.16636104540089156,0.9459287523569199,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_prob_linear_min_alpha,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,0.5431199999999999,0.94,0.0,0.97,0.4568800000000001,0.38,0.416,0.442,0.002,1.0,0.144,0.16121956833815673,0.552,0.537427097024814,0.0,0.02303171744882638,0.19501046635113062,0.9379639200607535,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_loose,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,0.3356,0.0,0.0,0.76,0.6644000000000001,0.554,0.568,0.588,0.004,1.0,0.144,0.13874860505131953,0.552,0.5643417488041994,0.34,0.033510429424729524,0.17928784448831195,0.9420620596343581,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_loose,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,0.4377,0.59,0.0,0.79,0.5622999999999999,0.398,0.416,0.446,0.002,1.0,0.144,0.16449614299842114,0.552,0.5342876082031641,0.5,0.03540397216026264,0.21996536664863664,0.9306010882826705,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_main,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,0.36048,0.0,0.0,0.8,0.63952,0.538,0.548,0.574,0.004,1.0,0.144,0.1409468146126074,0.552,0.558477689338601,0.0,0.020429106292606015,0.16690021433536714,0.9462927899258639,1.0
