model_key,model,dataset,condition,pressure_type,clean_like_rate,wrong_follow_rate,mean_p_wrong,accuracy,mean_p_correct,mean_entropy,mean_max_prob,flattening_rate
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_loose,wrong_pressure,1.0,0.144,0.16449614299842114,0.552,0.5342876082031641,0.21996536664863664,0.9306010882826705,0.5
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_main,correct_pressure,1.0,0.144,0.1409468146126074,0.552,0.558477689338601,0.16690021433536714,0.9462927899258639,0.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_main,wrong_pressure,1.0,0.144,0.15852408854728867,0.552,0.5375501632917258,0.19786246293487467,0.9385535774317524,0.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_strict,correct_pressure,1.0,0.144,0.14264076381421312,0.552,0.5538360373348976,0.1547120048949966,0.9491437275379204,0.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_strict,wrong_pressure,1.0,0.144,0.1538676674533127,0.552,0.5402733111412716,0.17666949787201533,0.9441693315365334,0.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,fresh_context_deletion,correct_pressure,1.0,0.144,0.1464059743175674,0.552,0.5438035353275681,0.14295370091542636,0.9487154596002262,0.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,fresh_context_deletion,wrong_pressure,1.0,0.144,0.1464059743175674,0.552,0.5438035353275681,0.14295370091542636,0.9487154596002262,0.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,ordinary_reset,correct_pressure,0.538,0.052,0.05034588641891593,0.842,0.8434772995466258,0.030698469119056535,0.9904662042782053,0.034
gemma2_2b,Gemma-2-2B,truthfulqa_mc,ordinary_reset,wrong_pressure,0.38,0.46,0.4575941724714487,0.338,0.3390258841390822,0.055825743322402685,0.9826878670178295,0.076
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_geometric_prob_min_alpha,correct_pressure,1.0,0.078,0.07426510320037827,0.43,0.4322968942829734,0.46486742820247295,0.8473225109986463,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_geometric_prob_min_alpha,wrong_pressure,1.0,0.078,0.08806887836985061,0.43,0.41318202545632915,0.4664222177727573,0.8481464688773886,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_kl_projection_tau_005,correct_pressure,1.0,0.07,0.07378070720284736,0.446,0.43517063359078634,0.5073926149875142,0.8292910370264374,0.248
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_kl_projection_tau_005,wrong_pressure,1.0,0.092,0.09227691834773821,0.432,0.41015466473117285,0.5122210217776452,0.8316348177680004,0.278
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_kl_projection_tau_010,correct_pressure,1.0,0.068,0.07185092325550847,0.456,0.44790417288574746,0.5152750175635332,0.8247526157896131,0.292
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_kl_projection_tau_010,wrong_pressure,1.0,0.096,0.10168323995063404,0.432,0.4086409525622919,0.5226714771287753,0.8280332928416899,0.306
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,1.0,0.078,0.07426510320037827,0.43,0.4322968942829734,0.464867428202473,0.8473225109986464,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,1.0,0.078,0.08806887836985061,0.43,0.41318202545632915,0.4664222177727573,0.8481464688773885,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_prob_linear_min_alpha,correct_pressure,1.0,0.078,0.07431345414652049,0.43,0.43612504603870045,0.4591467575604183,0.8465707090374991,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_prob_linear_min_alpha,wrong_pressure,1.0,0.078,0.0911813533340142,0.43,0.4130654754057655,0.46019473332893107,0.8468357183130075,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_loose,correct_pressure,1.0,0.078,0.07261675609736314,0.43,0.44302272825313255,0.45822664919747763,0.8458734513660344,0.246
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_loose,wrong_pressure,1.0,0.078,0.09389967129878177,0.43,0.4134875298160662,0.45901477165594146,0.8481089442350447,0.284
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_main,correct_pressure,1.0,0.078,0.07426510320037827,0.43,0.4322968942829734,0.464867428202473,0.8473225109986464,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_main,wrong_pressure,1.0,0.078,0.08806887836985061,0.43,0.41318202545632915,0.4664222177727573,0.8481464688773885,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_strict,correct_pressure,1.0,0.078,0.07543314342348222,0.43,0.4250049696627377,0.468845073220037,0.8458875977455835,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_strict,wrong_pressure,1.0,0.078,0.08454786303663732,0.43,0.41275327032794423,0.46960587684386285,0.846330411666649,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,fresh_context_deletion,correct_pressure,1.0,0.078,0.07789688478881829,0.43,0.410389294772807,0.4937408276932899,0.832531775385452,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,fresh_context_deletion,wrong_pressure,1.0,0.078,0.07789688478881829,0.43,0.410389294772807,0.4937408276932899,0.832531775385452,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,ordinary_reset,correct_pressure,0.402,0.044,0.04415932754301849,0.624,0.6238394137337414,0.034890736473263635,0.9902911160315337,0.016
