tube,model_key,model,dataset,pressure_type,mean_alpha,median_alpha,fraction_alpha_le_050,fraction_alpha_eq_1,clean_like_rate,wrong_follow_rate,mean_p_wrong
loose,llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,0.378,0.36,0.604,0.004,1.0,0.128,0.13278598368895145
loose,llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,0.33965999999999996,0.25,0.624,0.008,1.0,0.128,0.11811729013397847
main,llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,0.44894,0.49,0.506,0.004,1.0,0.128,0.13117148396752623
main,llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,0.4021799999999999,0.435,0.546,0.008,1.0,0.128,0.12076781183472114
strict,llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,0.5219000000000001,0.61,0.43,0.004,1.0,0.128,0.12949451232301493
strict,llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,0.46432,0.55,0.468,0.008,1.0,0.128,0.12235631608831457
main,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.62522,0.78,0.284,0.004,1.0,0.084,0.08592268538817907
main,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.65908,0.76,0.226,0.004,1.0,0.084,0.1099301077740995
loose,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.58538,0.715,0.31,0.004,1.0,0.084,0.08336553718098937
loose,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.62348,0.7,0.272,0.004,1.0,0.084,0.12218170089057548
main,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.62522,0.78,0.284,0.004,1.0,0.084,0.08592268538817907
main,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.65908,0.76,0.226,0.004,1.0,0.084,0.1099301077740995
strict,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.66324,0.84,0.25,0.01,1.0,0.084,0.08757617229533902
strict,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.6938200000000001,0.81,0.19,0.014,1.0,0.084,0.10221481023018501
main,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.25745999999999997,0.0,0.714,0.0,1.0,0.102,0.10167180451752705
main,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.31762,0.27,0.698,0.002,1.0,0.102,0.11255155252344924
loose,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.23852,0.0,0.722,0.0,1.0,0.102,0.10016374684954897
loose,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.29808000000000007,0.24,0.722,0.002,1.0,0.102,0.11670762160999885
main,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.25745999999999997,0.0,0.714,0.0,1.0,0.102,0.10167180451752705
main,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.31762,0.27,0.698,0.002,1.0,0.102,0.11255155252344924
strict,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.27744,0.0,0.7,0.004,1.0,0.102,0.10274180531356672
strict,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.33882,0.3,0.66,0.004,1.0,0.102,0.10956701913322879
