model_key,model,dataset,pressure_type,condition,alpha_bucket,n_items,clean_like_rate,wrong_follow_rate,mean_p_wrong,accuracy,mean_p_correct
gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_001_010,2,1.0,0.0,0.0005695684613781004,0.5,0.4982145289273011
gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_011_025,7,1.0,0.14285714285714285,0.1370226017407115,0.5714285714285714,0.5739964533724348
gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_026_050,12,1.0,0.08333333333333333,0.08121556355774817,0.5,0.5091534727309254
gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_051_075,52,1.0,0.07692307692307693,0.08671171961176595,0.40384615384615385,0.39097921071490077
gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_076_099,224,1.0,0.10714285714285714,0.09632703274411068,0.21875,0.22557307350452152
gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_100,2,1.0,0.0,0.0496170959225843,0.0,0.12737398369440042
gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_000,188,1.0,0.047872340425531915,0.04812529737704793,0.6542553191489362,0.6538972622210907
gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_001_010,3,1.0,0.3333333333333333,0.3353346040289857,0.3333333333333333,0.3311498286196059
gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_011_025,10,1.0,0.0,0.0034580759930403263,0.3,0.2896474608763674
gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_026_050,13,1.0,0.15384615384615385,0.15584720674062297,0.38461538461538464,0.39188005266961284
gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_051_075,42,1.0,0.11904761904761904,0.12742777060942803,0.38095238095238093,0.38163430741181825
gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_076_099,241,1.0,0.0912863070539419,0.10862556323682648,0.27800829875518673,0.24207355555023016
gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_100,3,1.0,0.0,0.129852637574558,0.0,0.1018649507900828
gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_000,398,1.0,0.05025125628140704,0.05035829138971235,0.8869346733668342,0.8866398348402592
gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_011_025,2,1.0,0.0,1.9954853664455062e-05,1.0,0.9995184677158757
gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_026_050,5,1.0,0.2,0.20058792249768506,0.0,0.0017922785522318414
gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_051_075,18,1.0,0.2222222222222222,0.22705067669050624,0.3333333333333333,0.33529280668432
gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_076_099,77,1.0,0.23376623376623376,0.23342404336663458,0.4025974025974026,0.3732916996630937
gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_000,391,1.0,0.028132992327365727,0.028233994387870647,0.9130434782608695,0.9129293420262352
gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_001_010,2,1.0,0.0,4.540355434468521e-05,0.5,0.4999496797029309
gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_011_025,1,1.0,0.0,6.258724001050365e-07,0.0,0.00023279307917798878
gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_026_050,6,1.0,0.16666666666666666,0.16728386254265634,0.16666666666666666,0.16806515115115225
gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_051_075,25,1.0,0.32,0.3136788548995106,0.44,0.4417772450493833
gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_076_099,75,1.0,0.30666666666666664,0.29925565659401515,0.29333333333333333,0.269445948434074
llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_000,43,1.0,0.09302325581395349,0.06642282315821044,0.7209302325581395,0.6817166982284715
llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_001_010,11,1.0,0.09090909090909091,0.09706209514025459,0.6363636363636364,0.6287925487996554
llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_011_025,19,1.0,0.05263157894736842,0.05479665126685068,0.6842105263157895,0.6291425470729163
llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_026_050,73,1.0,0.0547945205479452,0.0551401528725786,0.4794520547945205,0.45352715014582545
llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_051_075,159,1.0,0.07547169811320754,0.08443600300097356,0.4025157232704403,0.3564286110570565
llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_076_099,178,1.0,0.11797752808988764,0.09909189939945688,0.3089887640449438,0.28349685741259045
llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_100,17,1.0,0.11764705882352941,0.06791555606733074,0.11764705882352941,0.12442033354910918
llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_000,51,1.0,0.0392156862745098,0.03677892318528839,0.7647058823529411,0.7436732728467325
llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_001_010,17,1.0,0.058823529411764705,0.06639567437839589,0.7058823529411765,0.6449992080399646
llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_011_025,16,1.0,0.0625,0.08189355722674532,0.625,0.5384336496575677
llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_026_050,73,1.0,0.1095890410958904,0.1251950281351631,0.4931506849315068,0.44440446068999856
llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_051_075,144,1.0,0.13194444444444445,0.13745275793506762,0.3819444444444444,0.2994384068646903
llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_076_099,175,1.0,0.07428571428571429,0.11702446245232614,0.2857142857142857,0.219334970667494
llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_100,24,1.0,0.041666666666666664,0.06736195552054587,0.20833333333333334,0.18237618696391497
llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_000,118,1.0,0.1016949152542373,0.10189740340407295,0.7966101694915254,0.7820875838339243
llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_001_010,17,1.0,0.11764705882352941,0.12941993047992414,0.7647058823529411,0.7365163139719363
llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_011_025,43,1.0,0.023255813953488372,0.035927123934990764,0.8837209302325582,0.8384178525692789
llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_026_050,75,1.0,0.09333333333333334,0.10699705070748818,0.76,0.7132528816833945
llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_051_075,121,1.0,0.1487603305785124,0.14382508388076012,0.5619834710743802,0.5216603542188644
llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_076_099,124,1.0,0.1935483870967742,0.1963644780512473,0.3709677419354839,0.3560999448560417
llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_100,2,1.0,0.0,0.02001700186547365,0.0,0.48329747330068246
llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_000,191,1.0,0.015706806282722512,0.017827899825303174,0.9267015706806283,0.9125256616132023
llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_001_010,17,1.0,0.058823529411764705,0.065670520453004,0.8823529411764706,0.8493015464507274
llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_011_025,19,1.0,0.05263157894736842,0.046259335085787015,0.7894736842105263,0.7702788547435553
llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_026_050,46,1.0,0.10869565217391304,0.11819589430628094,0.6739130434782609,0.6306577486502052
llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_051_075,91,1.0,0.15384615384615385,0.1655595903418921,0.4835164835164835,0.45383955152937844
llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_076_099,132,1.0,0.2878787878787879,0.25635652955567156,0.25757575757575757,0.28341086844870184
llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_100,4,1.0,0.5,0.16036376896172289,0.0,0.27627868872113304
mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_000,99,1.0,0.020202020202020204,0.020805182543966516,0.8383838383838383,0.8378001041012176
mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_001_010,4,1.0,0.0,1.0267504043602876e-05,0.75,0.7457314026064303
mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_011_025,6,1.0,0.16666666666666666,0.16191472211439797,0.3333333333333333,0.35069374358045896
mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_026_050,33,1.0,0.15151515151515152,0.1473929762955566,0.42424242424242425,0.4290226340934424
mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_051_075,94,1.0,0.07446808510638298,0.07897203395436538,0.09574468085106383,0.11124994096190494
mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_076_099,262,1.0,0.10305343511450382,0.10505500728325405,0.1984732824427481,0.23594840062155906
mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_100,2,1.0,0.0,0.059174450929008145,0.0,0.17813085080589453
mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_000,60,1.0,0.26666666666666666,0.26632124418950315,0.4166666666666667,0.4165019013742028
mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_001_010,3,1.0,0.3333333333333333,0.3403310181344054,0.3333333333333333,0.3224419199521406
mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_011_025,1,1.0,0.0,0.031776974193815574,1.0,0.9675939268403557
mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_026_050,49,1.0,0.08163265306122448,0.10136337087031795,0.5306122448979592,0.5196241659299478
mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_051_075,135,1.0,0.02962962962962963,0.04394170517192223,0.28888888888888886,0.2802033661954086
mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_076_099,250,1.0,0.068,0.10586001361230589,0.284,0.2602246174235976
mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_100,2,1.0,0.0,0.28453521657549163,0.0,0.0008442176083082789
mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_000,303,1.0,0.0231023102310231,0.02319048087425479,0.9174917491749175,0.9173130986667132
mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_001_010,3,1.0,0.0,0.017694570427213518,1.0,0.9638756015700592
mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_011_025,14,1.0,0.14285714285714285,0.14524945118684376,0.5714285714285714,0.5633126392889459
mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_026_050,37,1.0,0.1891891891891892,0.18845064705731834,0.2702702702702703,0.28233560048693834
mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_051_075,62,1.0,0.24193548387096775,0.24339445809203403,0.08064516129032258,0.10162342175124386
mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_076_099,81,1.0,0.24691358024691357,0.24270963189061703,0.25925925925925924,0.2972617377833226
mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_000,226,1.0,0.11061946902654868,0.11058785797958504,0.7743362831858407,0.7738855711189451
mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_001_010,6,1.0,0.0,0.016056511008668627,1.0,0.9694629416385004
mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_011_025,13,1.0,0.0,0.016370927933081276,0.7692307692307693,0.7481040399282674
mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_026_050,104,1.0,0.04807692307692308,0.06432365490182981,0.7115384615384616,0.6929281215821496
mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_051_075,76,1.0,0.15789473684210525,0.15907428487494174,0.40789473684210525,0.40210350043937215
mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_076_099,74,1.0,0.12162162162162163,0.1619572124579163,0.3783783783783784,0.37852620771102324
mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_100,1,1.0,0.0,0.20961974698465527,1.0,0.3456045356123802
qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_000,200,1.0,0.02,0.019943893169954777,0.845,0.8448211870522779
qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_001_010,4,1.0,0.25,0.2409196327867681,0.75,0.751500766777582
qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_011_025,7,1.0,0.0,1.203202725153126e-10,0.2857142857142857,0.2942546915814042
qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_026_050,31,1.0,0.1935483870967742,0.18774516652190396,0.22580645161290322,0.2420974094755053
qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_051_075,42,1.0,0.11904761904761904,0.11577613658482454,0.11904761904761904,0.14300550942191712
qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_076_099,206,1.0,0.12135922330097088,0.11642066235868392,0.20388349514563106,0.2298115463007825
qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,cctp_logit_linear_min_alpha,alpha_100,10,1.0,0.1,0.05035416207897495,0.0,0.2258025645257639
qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_000,183,1.0,0.07650273224043716,0.07694731520454869,0.6885245901639344,0.6881241862229857
qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_001_010,8,1.0,0.0,0.0280183426986107,0.625,0.6074039136841404
qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_011_025,20,1.0,0.15,0.15957131351804096,0.65,0.6373831345186779
qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_026_050,32,1.0,0.03125,0.04526738662044176,0.46875,0.4578717397228133
qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_051_075,58,1.0,0.017241379310344827,0.02651362320468661,0.46551724137931033,0.4534902007926224
qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_076_099,187,1.0,0.12299465240641712,0.13195822244538172,0.21390374331550802,0.21536505427761551
qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,cctp_logit_linear_min_alpha,alpha_100,12,1.0,0.0,0.12382354040629723,0.16666666666666666,0.19899596031120473
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_000,376,1.0,0.03723404255319149,0.037424982150997786,0.898936170212766,0.8987804154951797
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_001_010,4,1.0,0.25,0.2435176629665283,0.25,0.2552142694514403
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_011_025,5,1.0,0.0,1.0608965737870104e-07,0.8,0.7952810485734686
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_026_050,14,1.0,0.14285714285714285,0.14124758881679397,0.6428571428571429,0.6342595076661185
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_051_075,21,1.0,0.2857142857142857,0.2812512539115879,0.3333333333333333,0.3360511216075528
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_076_099,75,1.0,0.21333333333333335,0.19406918309589016,0.28,0.31333779760428965
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,cctp_logit_linear_min_alpha,alpha_100,5,1.0,0.0,0.0640003827235623,0.2,0.2411115627290012
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_000,371,1.0,0.04582210242587601,0.04582113725044528,0.876010781671159,0.8760087123806931
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_001_010,2,1.0,0.5,0.5118307533962396,0.5,0.4881692465682738
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_011_025,1,1.0,0.0,0.003926895468641729,1.0,0.973421812843231
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_026_050,18,1.0,0.0,0.015274401036306673,0.7777777777777778,0.7631545503974142
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_051_075,28,1.0,0.17857142857142858,0.18240106460360087,0.4642857142857143,0.46104755930403984
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_076_099,76,1.0,0.21052631578947367,0.1977952108136925,0.32894736842105265,0.33972357589299085
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,cctp_logit_linear_min_alpha,alpha_100,4,1.0,0.0,0.07999741636758795,0.5,0.490265709142203
