model,model_key,dataset,dataset_key,strong_pressure_p_wrong,full_history_reset_p_wrong,fresh_context_p_wrong,full_history_reset_hysteresis_gap,full_history_reset_positive_hysteresis_rate,full_history_reset_wrong_answer_following,full_history_reset_conditional_lock_in,remove_all_pressure_hysteresis_gap,reset_only_hysteresis_gap,source_artifact
Llama-3.1-8B,llama31_8b,TruthfulQA-MC,truthfulqa_mc,0.8518987300478174,0.06833180806894,0.1259408007791891,-0.0576089927102491,0.556,0.05,0.046,-0.0194733048742278,0.0135151113974124,runs/expanded_model_inference_v1/summary.csv
Llama-3.1-8B,llama31_8b,MMLU-Pro,mmlu_pro,0.9717002885306169,0.2669675275090834,0.085125789299661,0.1818417382094223,0.784,0.326,0.326,-0.0017637351786797,-0.0021367706001723,runs/expanded_model_inference_v1/summary.csv
Gemma2-2B,gemma2_2b,TruthfulQA-MC,truthfulqa_mc,0.8615532302169383,0.6275728132483263,0.1464059743175674,0.4811668389307588,0.784,0.632,0.63,-0.0061744485397301,-0.010043319441817,runs/expanded_model_inference_v1_gemma_formatfix/summary.csv
Gemma2-2B,gemma2_2b,MMLU-Pro,mmlu_pro,0.887192668162761,0.832849320798437,0.0989545308432782,0.7338947899551588,0.888,0.836,0.824,-0.009827000063452,-0.0097469317371216,runs/expanded_model_inference_v1_gemma_formatfix/summary.csv
Gemma2-9B,gemma2_9b,TruthfulQA-MC,truthfulqa_mc,0.2389776902183346,0.0960637759308597,0.0868274642842264,0.0092363116466332,0.178,0.096,0.094,-0.0100259949708697,-0.0041464343898358,runs/expanded_model_inference_v1_gemma_formatfix/summary.csv
Gemma2-9B,gemma2_9b,MMLU-Pro,mmlu_pro,0.6745605744881297,0.3518608258670983,0.0778968847888182,0.27396394107828,0.596,0.354,0.35,-0.0071016466244187,-0.0055248405636883,runs/expanded_model_inference_v1_gemma_formatfix/summary.csv
