plausibility_stratum,mean_p_clean_wrong,mean_p_reset_wrong,mean_hysteresis_gap,positive_hysteresis_rate,ordinary_reset_wrong_follow_rate,n_items
Low,0.00014395102863140117,0.22994450810370914,0.22980055707507774,0.7249786142001711,0.23310521813515825,2338
Mid,0.0034568840089117445,0.3870777916236249,0.3836209076147132,0.6454388984509466,0.39672977624784855,2324
High,0.2980268571207014,0.5945667955066318,0.2965399383859304,0.6428571428571429,0.605218135158255,2338
