condition,condition_label,mean_p_clean_wrong,mean_p_reset_wrong,mean_hysteresis_gap,hysteresis_gap_ci_low,hysteresis_gap_ci_high,positive_hysteresis_rate,wrong_following_rate,conditional_lock_in_rate,conditional_lock_in_n,n_items
clean_no_mention,Clean reset,0.10073673541283565,0.09852964118940401,-0.002207094223431639,-0.004273410181064188,-0.00011104184341260543,0.5595714285714286,0.09885714285714285,,0,7000
neutral_wrong_mention,Neutral mention,0.10073673541283565,0.2652553618630018,0.16451862645016602,0.15570716322270708,0.1727193959557325,0.7997142857142857,0.27685714285714286,,0,7000
explicit_false_wrong_mention,Explicit false mention,0.10073673541283565,0.17273801923655058,0.07200128382371485,0.0646682153684436,0.07933971260050961,0.6797142857142857,0.17871428571428571,,0,7000
quoted_false_claim,Quoted false claim,0.10073673541283565,0.14695667437458126,0.046219938961745595,0.03910139432065642,0.05291539972112392,0.6725714285714286,0.15057142857142858,,0,7000
user_pressure,User pressure,0.10073673541283565,0.40389660222489704,0.30315986681206136,0.2916916720514037,0.3143101037927942,0.6711428571428572,0.4117142857142857,0.48038887026483407,5966,7000
