section,model,model_key,dataset,dataset_key,quantity,estimate,ci_low,ci_high,n_items,bootstrap_samples,seed,source_artifacts
behavioral_controls,Qwen2.5-14B,qwen25_14b,TruthfulQA-MC,truthfulqa_mc,wrong_pressure_reset_gap,0.036697673019392966,0.009783011733640996,0.0639694936195648,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Qwen2.5-14B,qwen25_14b,TruthfulQA-MC,truthfulqa_mc,neutral_history_reset_gap,-0.0014479604987489222,-0.020342074507860828,0.016950908475241413,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Qwen2.5-14B,qwen25_14b,TruthfulQA-MC,truthfulqa_mc,correct_pressure_final_p_wrong,0.050259500991456874,0.032263488986093714,0.06982133316247376,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Qwen2.5-14B,qwen25_14b,TruthfulQA-MC,truthfulqa_mc,correct_pressure_final_p_correct,0.8209907435470775,0.7878066938031567,0.8528765376187588,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Qwen2.5-14B,qwen25_14b,MMLU-Pro,mmlu_pro,wrong_pressure_reset_gap,0.272105977506551,0.23219637626107012,0.3123714922570228,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/mmlu_pro/per_item_results.jsonl
behavioral_controls,Qwen2.5-14B,qwen25_14b,MMLU-Pro,mmlu_pro,neutral_history_reset_gap,-0.008528485440493078,-0.024684802751740717,0.007447044180311537,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/mmlu_pro/per_item_results.jsonl
behavioral_controls,Qwen2.5-14B,qwen25_14b,MMLU-Pro,mmlu_pro,correct_pressure_final_p_wrong,0.028857610641311194,0.01538739894618696,0.044416090393815846,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/mmlu_pro/per_item_results.jsonl
behavioral_controls,Qwen2.5-14B,qwen25_14b,MMLU-Pro,mmlu_pro,correct_pressure_final_p_correct,0.8005800891873932,0.7659965136204432,0.8335088620628767,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/mmlu_pro/per_item_results.jsonl
behavioral_controls,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,wrong_pressure_reset_gap,0.2470265087505791,0.20431463252260482,0.2890696216753835,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,neutral_history_reset_gap,-0.011256091104265962,-0.030318378338977513,0.007711079128662781,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,correct_pressure_final_p_wrong,0.041675476099902305,0.02645270332316648,0.058490624208544936,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,correct_pressure_final_p_correct,0.8396447631149977,0.8087494736700922,0.8687617224097257,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,wrong_pressure_reset_gap,0.6592114301852703,0.6184311913790318,0.6991800460147998,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/mmlu_pro/per_item_results.jsonl
behavioral_controls,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,neutral_history_reset_gap,-0.01613956193135985,-0.033080670578551234,0.0007354207883766044,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/mmlu_pro/per_item_results.jsonl
behavioral_controls,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,correct_pressure_final_p_wrong,0.009874439083084148,0.0030875854951008656,0.01847222298678939,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/mmlu_pro/per_item_results.jsonl
behavioral_controls,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,correct_pressure_final_p_correct,0.891977545043678,0.8653422439417628,0.9162742524009542,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/mmlu_pro/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/mmlu_pro/per_item_results.jsonl
