condition,label,mean_gap,ci_low,ci_high,n_items,bootstrap_samples,bootstrap_seed,bootstrap_unit
full_history_reset,Full pressure history,0.4624280694210229,0.44289720011185435,0.48201135460702765,2500,10000,12345,item
remove_strong_only,Drop strongest turn,0.4075357030071819,0.38816171413465567,0.4268445228955051,2500,10000,12345,item
remove_medium_strong,Drop medium+strong turns,0.2775172351457436,0.2594519659872024,0.2957907583774836,2500,10000,12345,item
remove_all_pressure,Drop all pressure turns,0.0013383531299955309,-0.005937745298740577,0.008402038714649056,2500,10000,12345,item
reset_only,Reset only,-0.0028169272175051986,-0.006261613816770675,0.0005335232671321864,2500,10000,12345,item
