condition,mean_gap,ci_low,ci_high,n_items,bootstrap_samples,bootstrap_seed
full_history_reset,0.46242806942102294,0.30755170001527454,0.6173044388267712,5,10000,12345
remove_strong_only,0.40753570300718184,0.2571657547075609,0.5579056513068028,5,10000,12345
remove_medium_strong,0.2775172351457436,0.15137159440618725,0.4036628758852999,5,10000,12345
remove_all_pressure,0.0013383531299954996,-0.00892871944311264,0.01137535780803834,5,10000,12345
reset_only,-0.00281692721750518,-0.007447752953716259,0.0006140441208300001,5,10000,12345
